T,X,Y,Z
1629821447950093474,-23226,-1624,2528
1629821447983294034,-21426,-1432,6174
1629821448016799621,-21106,-7542,4026
1629821448049723648,-6014,-914,3786
1629821448082286932,-7282,4492,-8662
1629821448115044818,-13854,4876,-5310
1629821448148287583,-26758,-3386,-4828
1629821448181723451,-27710,-3614,2266
1629821448215278247,-13450,-10978,-3640
1629821448247976960,-19104,-1050,2958
1629821448281059919,-18128,1344,4428
1629821448314220135,-19826,21306,-7870
1629821448347156913,-21666,9822,-7068
1629821448380111235,-15488,5268,916
1629821448413213154,-11834,2830,950
1629821448446098927,-10014,-2352,-20
1629821448479159425,-11724,1964,-4052
1629821448512378522,-9760,1938,2
1629821448545390391,-9670,492,-264
1629821448578367465,-10746,1336,-2010
1629821448616646046,-12310,1288,-3418
1629821448649627787,-17140,-438,-7112
1629821448682709412,-20490,-6916,-10796
1629821448715668192,-22410,-11088,-8208
1629821448748823700,-18696,-9214,-3356
1629821448782385579,-16826,-5182,2768
1629821448816798415,-13768,2282,3512
1629821448850980563,-22678,1926,-12420
1629821448883962345,-20150,10780,-370
1629821448917125853,-11318,7926,2760
1629821448950055131,-9982,7386,12214
1629821448983356944,-16786,-2422,13026
1629821449016786266,-18582,-8678,3008
1629821449050139036,-19162,-5752,-5386
1629821449083068557,-14434,-4832,-4598
1629821449116226058,-13890,-4888,-1334
1629821449149220752,-12110,-5430,1096
1629821449182017093,-12672,-3938,1378
1629821449215397324,-10920,-1800,1374
1629821449248727842,-12668,-600,1210
1629821449281673281,-13026,660,7824
1629821449314540962,-12200,2812,6570
1629821449347598412,-13614,3334,580
1629821449380828253,-19812,3168,-1502
1629821449413695852,-18774,-300,-1264
1629821449446329844,-18846,-5798,2076
1629821449479349374,-15638,-13164,-7746
1629821449512427201,-12808,-26534,-2686
1629821449545692045,-20680,-12818,1622
1629821449578679322,-22376,-12130,7894
1629821449612324328,-32768,-1474,16760
1629821449645647845,-32768,4562,4924
1629821449679589754,-22068,5428,-11538
1629821449712947816,-13142,4968,-1436
1629821449746080940,-13268,6068,866
1629821449779490215,-8474,9492,-2602
1629821449813089966,-6226,8362,-758
1629821449846766350,-4900,6540,986
1629821449879912975,-4276,3888,-3156
1629821449913194405,-16884,-7680,608
1629821449946226144,-32768,-27234,17698
1629821449979766973,-25302,-14720,3066
1629821450012785292,-14388,-13036,-19480
1629821450045898699,-24900,10218,-9128
1629821450078615777,-17488,12748,6750
1629821450111904075,-11574,13404,5304
1629821450144870552,-21456,15614,3232
1629821450178051715,-22124,1562,3182
1629821450211506946,-17940,-3360,1112
1629821450244572432,-16194,-4244,-3928
1629821450277355891,-14550,-4056,-3180
1629821450310543471,-9112,-6854,768
1629821450343966241,-12716,-4012,4958
1629821450376985389,-16350,-2824,5560
1629821450410628263,-16508,-3626,-166
1629821450444319934,-14198,-4868,552
1629821450477902302,-17734,-8230,1358
1629821450511085799,-18662,-19758,-3068
1629821450544493317,-17066,-17982,-3204
1629821450577628518,-17898,-10002,1698
1629821450615651518,-32768,5280,5906
1629821450649702306,-32768,7446,8330
1629821450683679670,-27176,6834,-6882
1629821450717621698,-11678,6396,-776
1629821450751844669,-6850,4896,1434
1629821450785326903,-4864,3844,2704
1629821450819841318,-4792,6782,-3742
1629821450857110163,-6722,6646,-4542
1629821450890219945,-10178,5520,-6100
1629821450923692261,-12258,-7250,-3424
1629821450956793708,-21448,-21074,-2496
1629821450990065755,-23546,-17864,-9060
1629821451023325922,-18648,-11490,10168
1629821451056942829,-20454,-13670,-21256
1629821451091175377,-27066,14422,7852
1629821451124189852,-14556,11474,3984
