T,X,Y,Z
1629807796834721955,180,2810,7222
1629807796854119936,320,2716,7224
1629807796873340458,754,1858,8098
1629807796893018940,1358,918,9356
1629807796912505921,1670,398,10796
1629807796931735193,1670,120,12214
1629807796950627965,1690,-880,14818
1629807796969936362,1824,-2754,18806
1629807796989927469,2394,-4868,21860
1629807797010112200,3520,-6374,23282
1629807797029623930,5000,-7260,21082
1629807797048915492,5786,-8454,18548
1629807797068601681,6198,-8302,19340
1629807797088254035,6010,-6042,23904
1629807797107433306,3362,-2266,29164
1629807797126949161,308,356,30832
1629807797146215432,-1728,362,24792
1629807797166420912,-1210,-1140,15450
1629807797185923225,-150,-2748,8562
1629807797206209997,1086,-3970,4908
1629807797226608436,2436,-4836,3444
1629807797245907874,3942,-5628,4940
1629807797265756062,4988,-5972,8500
1629807797285145833,4800,-5238,11018
1629807797304090354,3562,-3396,12362
1629807797323581375,2194,-1506,13102
1629807797342766729,1202,-50,12838
1629807797362496792,568,1108,12946
1629807797381861063,380,1250,13642
1629807797401147709,550,170,14556
1629807797420458522,1390,-714,13622
1629807797439768168,2624,-882,11918
1629807797459406231,3334,-342,10776
1629807797478576627,3458,436,11104
1629807797497674689,3604,436,11836
1629807797516852793,3674,652,12286
1629807797536326690,4130,706,12584
1629807797556145628,4496,560,13060
1629807797575123357,4786,426,14640
1629807797594432586,4842,750,16772
1629807797613626940,4934,366,17892
1629807797633422004,4482,-1072,21126
1629807797654772568,3446,-3852,27580
1629807797674754799,1670,-3852,32767
1629807797694063403,-1304,-1168,32767
1629807797714216258,-2874,-690,30618
1629807797734531114,-2800,-2144,19524
1629807797754161177,-1884,-3226,10322
1629807797774226448,-300,-3706,5638
1629807797794728679,1628,-3838,3888
1629807797813911617,2900,-3602,4764
1629807797833603721,3270,-3448,7526
1629807797853006743,2744,-2730,9936
1629807797873463390,1636,-1246,10574
1629807797892834619,736,8,9760
1629807797912107015,308,1254,8574
1629807797931766703,46,2446,7864
1629807797950670349,-238,3108,8166
1629807797969949578,-124,2832,8498
1629807797989313599,176,2832,8398
1629807798008525745,1008,1880,7762
1629807798028499682,2114,924,7596
1629807798048689994,2872,796,8512
1629807798068166389,3026,796,10306
1629807798087548201,3104,432,11544
1629807798106830179,3448,-430,12706
1629807798126594532,4134,-1746,16052
1629807798145856343,4320,-2640,20228
1629807798165136321,3870,-3322,22846
1629807798184144966,3584,-3780,21174
1629807798203588611,3738,-3922,19932
1629807798224639549,3792,-4280,22734
1629807798244015652,2768,-4276,26956
1629807798263739172,1002,-2996,30822
1629807798283717776,-344,-330,29860
1629807798303562921,-464,988,22660
1629807798322731066,598,-250,14254
1629807798342302294,1506,-2038,8050
1629807798361601772,2730,-2810,4288
1629807798380891208,3900,-3460,3464
1629807798400574770,5430,-4272,6804
1629807798419689331,5982,-5332,12024
1629807798438866851,5062,-5608,15320
1629807798458311579,3838,-5170,15974
1629807798478048224,2782,-3144,14286
1629807798497839744,2196,-1234,12578
1629807798517184972,2092,168,11068
1629807798536483117,1754,1450,10082
1629807798555997595,2044,2046,9936
1629807798575074531,3056,1712,10294
1629807798594946427,3666,804,10580
1629807798614728822,3618,406,10810
1629807798636137302,3354,588,11778
1629807798656293781,3142,836,12614
1629807798675977301,3012,1534,12528
1629807798695815238,2992,1992,11664
1629807798716096259,3188,2146,11216
1629807798736245113,3736,1668,12816
1629807798755828757,4000,936,15670
1629807798776279445,3976,-542,18456
1629807798796435049,3690,-1360,22224
1629807798816721361,2990,-2226,26752
1629807798837021840,2390,-2368,31168
1629807798857297944,1522,-918,32542
1629807798877518548,496,872,28244
1629807798897411485,2,1028,20246
1629807798916908964,-228,-26,12248
1629807798936319733,476,-1060,6868
1629807798955501461,2334,-2826,4586
1629807798975228440,4688,-3912,4454
1629807798994193042,5800,-2868,6186
1629807799013419937,5322,-1324,8680
1629807799033133914,3224,-156,9998
1629807799052752058,1976,1216,9650
1629807799072914993,1316,2142,9764
1629807799092304970,974,3286,10114
1629807799112245031,502,3862,10788
1629807799133309676,-6,3978,10792
1629807799154715905,-166,3838,9832
1629807799174158674,204,2682,9410
1629807799193693026,944,1250,10062
1629807799213440961,1986,346,11032
1629807799233732022,2562,-292,12638
1629807799253784166,3024,-852,13940
1629807799273354019,2972,-974,15298
1629807799292544079,2972,-1042,17684
1629807799311627680,2620,-1750,20240
1629807799330708823,2150,-2640,21526
1629807799350462759,2358,-3186,18810
1629807799369883569,3116,-4180,17136
1629807799389394046,3660,-4612,19744
1629807799408251189,3436,-3774,24452
1629807799427719583,2454,-1254,28214
1629807799447624519,982,1124,27158
1629807799466808329,-272,1266,20872
1629807799486615264,-416,276,13932
1629807799506162283,130,-808,8720
1629807799525605843,1270,-1456,6498
1629807799545538321,2358,-2126,7346
1629807799564724089,3090,-3256,10266
1629807799585148442,3522,-3676,12202
1629807799604752461,3572,-3076,13560
1629807799623910604,3298,-1710,13730
1629807799644099873,2636,-708,13574
1629807799663046183,2078,-216,13378
1629807799682573202,1674,-44,13148
1629807799701843053,1636,-260,13082
1629807799722610698,1786,-586,12744
1629807799742287384,1962,-680,12082
1629807799761379235,2200,-594,11796
1629807799780577379,2298,-264,11554
1629807799799913689,2374,314,11488
1629807799819934625,2408,1058,11740
1629807799839596394,2408,1154,11854
1629807799858907829,2616,964,11868
1629807799878624098,3148,820,12298
1629807799897919783,3460,966,13350
1629807799917814468,3460,966,14348
1629807799936824570,3496,1054,15486
1629807799957625965,3586,468,16852
1629807799978365943,4026,-226,18418
